2024-H1,G Coffee @ Alam Tun Hussein Onn,12055387.76
2024-H1,G Coffee @ Bandar Seri Mulia,12063798.38
2024-H1,G Coffee @ Damansara Saujana,12071599.83
2024-H1,G Coffee @ Kampung Changkat,12075093.82
2024-H1,G Coffee @ Kondominium Putra,12081295.48
2024-H1,G Coffee @ PJS8,12083143.87
2024-H1,G Coffee @ Seksyen 21,12102556.66
2024-H1,G Coffee @ Taman Damansara,12097843.58
2024-H1,G Coffee @ USJ 57W,12074549.72
2024-H1,G Coffee @ USJ 89q,12054500.53
2025-H1,G Coffee @ Alam Tun Hussein Onn,5987218.00
2025-H1,G Coffee @ Bandar Seri Mulia,5972746.50
2025-H1,G Coffee @ Damansara Saujana,5983954.00
2025-H1,G Coffee @ Kampung Changkat,6008294.50
2025-H1,G Coffee @ Kondominium Putra,5991927.50
2025-H1,G Coffee @ PJS8,5993740.00
2025-H1,G Coffee @ Seksyen 21,5992714.00
2025-H1,G Coffee @ Taman Damansara,5976239.50
2025-H1,G Coffee @ USJ 57W,5989439.00
2025-H1,G Coffee @ USJ 89q,5983333.50
