QUANTITY,2024-01,Latte,311361
QUANTITY,2024-02,Espresso,291989
QUANTITY,2024-03,Latte,310920
QUANTITY,2024-04,Americano,300869
QUANTITY,2024-05,Cappuccino,311622
QUANTITY,2024-06,Espresso,301730
QUANTITY,2024-07,Flat White,310592
QUANTITY,2024-08,Americano,311683
QUANTITY,2024-09,Cappuccino,301343
QUANTITY,2024-10,Espresso,310356
QUANTITY,2024-11,Americano,300850
QUANTITY,2024-12,Latte,311081
QUANTITY,2025-01,Flat White,312232
QUANTITY,2025-02,Hot Chocolate,280937
QUANTITY,2025-03,Americano,310772
QUANTITY,2025-04,Mocha,301665
QUANTITY,2025-05,Cappuccino,311492
QUANTITY,2025-06,Americano,301459
PROFIT,2024-01,Matcha Latte,3098440.00
PROFIT,2024-02,Matcha Latte,2902660.00
PROFIT,2024-03,Matcha Latte,3094720.00
PROFIT,2024-04,Matcha Latte,3002390.00
PROFIT,2024-05,Matcha Latte,3092170.00
PROFIT,2024-06,Matcha Latte,2994500.00
PROFIT,2024-07,Matcha Latte,3099350.00
PROFIT,2024-08,Matcha Latte,3102090.00
PROFIT,2024-09,Matcha Latte,2990050.00
PROFIT,2024-10,Matcha Latte,3078870.00
PROFIT,2024-11,Matcha Latte,3007480.00
PROFIT,2024-12,Matcha Latte,3098850.00
PROFIT,2025-01,Matcha Latte,3104830.00
PROFIT,2025-02,Matcha Latte,2804010.00
PROFIT,2025-03,Matcha Latte,3103800.00
PROFIT,2025-04,Matcha Latte,2995990.00
PROFIT,2025-05,Matcha Latte,3090830.00
PROFIT,2025-06,Matcha Latte,3003250.00
