QUANTITY,2024-07,Flat White,310592
QUANTITY,2024-08,Americano,311683
QUANTITY,2024-09,Cappuccino,301343
QUANTITY,2024-10,Espresso,310356
QUANTITY,2024-11,Americano,300850
QUANTITY,2024-12,Latte,311081
QUANTITY,2025-04,Mocha,301665
QUANTITY,2025-05,Cappuccino,311492
QUANTITY,2025-06,Americano,301459
PROFIT,2024-07,Matcha Latte,3099350.0
PROFIT,2024-08,Matcha Latte,3102090.0
PROFIT,2024-09,Matcha Latte,2990050.0
PROFIT,2024-10,Matcha Latte,3078870.0
PROFIT,2024-11,Matcha Latte,3007480.0
PROFIT,2024-12,Matcha Latte,3098850.0
PROFIT,2025-04,Matcha Latte,2995990.0
PROFIT,2025-05,Matcha Latte,3090830.0
PROFIT,2025-06,Matcha Latte,3003250.0
