2024-H2,G Coffee @ Alam Tun Hussein Onn,12201348.94
2024-H2,G Coffee @ Bandar Seri Mulia,12160503.31
2024-H2,G Coffee @ Damansara Saujana,12146023.21
2024-H2,G Coffee @ Kampung Changkat,12128707.15
2024-H2,G Coffee @ Kondominium Putra,12143664.68
2024-H2,G Coffee @ PJS8,12130840.06
2024-H2,G Coffee @ Seksyen 21,12140090.41
2024-H2,G Coffee @ Taman Damansara,12178771.77
2024-H2,G Coffee @ USJ 57W,12129201.67
2024-H2,G Coffee @ USJ 89q,12099204.16
2025-H1,G Coffee @ Alam Tun Hussein Onn,5975583.07
2025-H1,G Coffee @ Bandar Seri Mulia,6036655.37
2025-H1,G Coffee @ Damansara Saujana,6001016.70
2025-H1,G Coffee @ Kampung Changkat,6059516.36
2025-H1,G Coffee @ Kondominium Putra,6029373.04
2025-H1,G Coffee @ PJS8,6019879.75
2025-H1,G Coffee @ Seksyen 21,6044326.53
2025-H1,G Coffee @ Taman Damansara,6018547.61
2025-H1,G Coffee @ USJ 57W,6016304.93
2025-H1,G Coffee @ USJ 89q,6013027.76
